7,6	19,6	3,6	25,6	17,6	0,6	2,6	13,6	32,6	16,6	
9,6	5,6	11,6	15,6	35,6	17,6	0,6	2,6	45,6	16,6	
17,6	0,6	2,6	28,6	13,6	36,6	32,6	46,6	45,6	16,6	
20,6	15,6	16,6	-1,6	-1,6	-1,6	-1,6	-1,6	-1,6	-1,6	
1,6	8,6	6,6	13,6	36,6	41,6	32,6	37,6	30,6	45,6	
4,6	18,6	14,6	12,6	25,6	23,6	13,6	32,6	46,6	45,6	
10,6	12,6	13,6	36,6	41,6	32,6	46,6	37,6	30,6	45,6	
33,6	43,6	31,6	49,6	42,6	41,6	32,6	46,6	30,6	45,6	
47,6	34,6	49,6	42,6	28,6	41,6	32,6	46,6	30,6	45,6	
24,6	44,6	39,6	26,6	42,6	21,6	36,6	37,6	30,6	45,6	
