6,6	8,6	3,6	48,6	25,6	37,6	-1,6	-1,6	-1,6	-1,6	
2,6	7,6	1,6	47,6	29,6	10,6	18,6	17,6	46,6	48,6	
4,6	0,6	5,6	49,6	23,6	39,6	46,6	48,6	25,6	37,6	
41,6	43,6	38,6	47,6	29,6	10,6	17,6	39,6	46,6	48,6	
20,6	28,6	29,6	40,6	42,6	10,6	17,6	46,6	48,6	25,6	
26,6	40,6	39,6	46,6	48,6	25,6	37,6	-1,6	-1,6	-1,6	
31,6	36,6	16,6	33,6	9,6	14,6	30,6	34,6	46,6	48,6	
33,6	9,6	14,6	32,6	30,6	27,6	11,6	34,6	42,6	48,6	
32,6	30,6	27,6	34,6	42,6	17,6	49,6	46,6	48,6	25,6	
35,6	45,6	34,6	42,6	10,6	17,6	23,6	46,6	48,6	25,6	
