2,6	0,6	11,6	29,6	24,6	23,6	20,6	41,6	4,6	13,6	
6,6	8,6	5,6	7,6	16,6	12,6	1,6	15,6	14,6	13,6	
16,6	1,6	14,6	20,6	41,6	36,6	19,6	4,6	13,6	10,6	
9,6	12,6	13,6	10,6	-1,6	-1,6	-1,6	-1,6	-1,6	-1,6	
7,6	15,6	4,6	10,6	-1,6	-1,6	-1,6	-1,6	-1,6	-1,6	
17,6	3,6	10,6	-1,6	-1,6	-1,6	-1,6	-1,6	-1,6	-1,6	
49,6	34,6	28,6	18,6	47,6	42,6	45,6	46,6	27,6	21,6	
43,6	47,6	42,6	45,6	46,6	27,6	21,6	29,6	24,6	23,6	
18,6	46,6	27,6	21,6	32,6	29,6	24,6	23,6	20,6	41,6	
33,6	48,6	39,6	32,6	29,6	24,6	23,6	20,6	41,6	19,6	
