13,6	6,6	11,6	15,6	30,6	38,6	0,6	40,6	2,6	29,6	
8,6	1,6	0,6	40,6	12,6	47,6	36,6	2,6	23,6	26,6	
5,6	7,6	2,6	9,6	23,6	46,6	26,6	29,6	20,6	-1,6	
3,6	10,6	9,6	23,6	46,6	26,6	29,6	20,6	-1,6	-1,6	
14,6	4,6	12,6	19,6	34,6	47,6	36,6	23,6	26,6	20,6	
24,6	28,6	17,6	30,6	16,6	38,6	40,6	37,6	36,6	20,6	
38,6	40,6	35,6	37,6	34,6	47,6	36,6	23,6	26,6	29,6	
49,6	21,6	42,6	44,6	37,6	34,6	47,6	36,6	26,6	29,6	
43,6	41,6	31,6	27,6	18,6	48,6	44,6	37,6	23,6	26,6	
25,6	48,6	30,6	22,6	44,6	34,6	47,6	26,6	29,6	20,6	
