2,6	0,6	1,6	33,6	19,6	22,6	30,6	9,6	10,6	28,6	
4,6	3,6	5,6	22,6	30,6	9,6	10,6	28,6	-1,6	-1,6	
45,6	46,6	25,6	6,6	36,6	31,6	32,6	21,6	19,6	30,6	
47,6	7,6	23,6	43,6	32,6	14,6	33,6	9,6	10,6	28,6	
37,6	18,6	39,6	49,6	31,6	26,6	14,6	41,6	27,6	30,6	
16,6	43,6	14,6	41,6	27,6	19,6	22,6	9,6	10,6	28,6	
8,6	38,6	22,6	30,6	9,6	10,6	28,6	-1,6	-1,6	-1,6	
34,6	13,6	49,6	29,6	42,6	31,6	20,6	27,6	10,6	28,6	
29,6	42,6	36,6	31,6	21,6	35,6	33,6	30,6	10,6	28,6	
44,6	15,6	12,6	31,6	26,6	41,6	35,6	30,6	10,6	28,6	
