6,6	0,6	11,6	42,6	25,6	33,6	18,6	19,6	10,6	37,6	
8,6	4,6	10,6	41,6	37,6	-1,6	-1,6	-1,6	-1,6	-1,6	
1,6	9,6	3,6	32,6	20,6	16,6	25,6	21,6	18,6	19,6	
2,6	7,6	5,6	16,6	42,6	25,6	33,6	21,6	14,6	37,6	
38,6	45,6	29,6	22,6	32,6	20,6	25,6	33,6	18,6	37,6	
44,6	20,6	33,6	21,6	18,6	19,6	14,6	41,6	37,6	-1,6	
17,6	43,6	16,6	42,6	21,6	18,6	19,6	14,6	41,6	37,6	
28,6	36,6	48,6	31,6	42,6	21,6	18,6	19,6	14,6	41,6	
30,6	27,6	35,6	31,6	46,6	21,6	19,6	14,6	41,6	37,6	
40,6	23,6	31,6	46,6	22,6	42,6	21,6	14,6	41,6	37,6	
