22,6	45,6	46,6	28,6	19,6	8,6	26,6	43,6	14,6	37,6	
28,6	1,6	12,6	4,6	17,6	8,6	32,6	26,6	13,6	14,6	
16,6	29,6	7,6	19,6	31,6	41,6	49,6	26,6	43,6	14,6	
18,6	5,6	15,6	33,6	19,6	49,6	30,6	42,6	8,6	11,6	
6,6	49,6	17,6	20,6	27,6	30,6	24,6	23,6	13,6	37,6	
39,6	34,6	41,6	2,6	35,6	0,6	27,6	30,6	36,6	47,6	
4,6	35,6	30,6	8,6	26,6	11,6	3,6	37,6	47,6	38,6	
27,6	42,6	23,6	26,6	43,6	11,6	14,6	3,6	37,6	38,6	
2,6	36,6	24,6	26,6	43,6	11,6	14,6	3,6	37,6	38,6	
9,6	21,6	0,6	25,6	32,6	26,6	11,6	14,6	37,6	38,6	
